Longitude,Type of Station,City,Address1,Zip,Address2,Version,State,City and State of the station,State FIPS,Unique Station Code,Latitude,latitude,longitude
-122.273859,BUS,Dunsmuir,5915 Dunsmuir Avenue,96025,City Hall,07,CA,"Dunsmuir (Bus Station), California",06,DBS,41.207872,41.2078724855,-122.273858679
-82.184822,OTHER,Dade City,14218 US Highway 98,33525,Hwy98/301 Truck Route,07,FL,"Dade City, Florida",12,DDE,28.364189,28.364189,-82.184822
-100.016579,RAIL,Dodge City,Central Ave & Wyatt Earp St.,67801,,07,KS,"Dodge City, Kansas",20,DDG,37.752598,37.752598,-100.016579
-104.991778,BUS,Denver,1055 19th Street,80202,Greyhound Station,07,CO,"Denver (Bus Station), Colorado",08,DEB,39.75046,39.750459749,-104.99177771
-107.760834,RAIL,Deming,400 East Railroad Avenue,88030,,07,NM,"Deming, New Mexico",35,DEM,32.271084,32.271084,-107.760834
-104.999611,RAIL,Denver,1701 Wynkoop Street,80202,Union Station,07,CO,"Denver, Colorado",08,DEN,39.753223,39.753223,-104.999611
-83.20118,RAIL,Dearborn,16121 Michigan Ave.,48126,,07,MI,"Dearborn, Michigan",26,DER,42.313049,42.313049,-83.20118
-83.072098,RAIL,Detroit,11 West Baltimore Ave.,48202,,07,MI,"Detroit, Michigan",26,DET,42.367882,42.367882,-83.072098
-80.12146,RAIL,Deerfield Beach,1300 W. Hillsboro Blvd,33442,,07,FL,"Deerfield Beach, Florida",12,DFB,26.317795,26.317795,-80.12146
-105.379647,BUS,Douglas,628 East Richards St.,82633-2834,Plains Motel & Gift Shop,07,WY,"Douglas, Wyoming",56,DGS,42.748524,42.7485236337,-105.379646616
-70.935829,RAIL,Durham,3 Depot Road,03824-1909,University of New Hampshire campus,07,NH,"Durham, New Hampshire",33,DHM,43.138976,43.13897624,-70.9358294452
-79.371758,RAIL,Dillon,100 North Railroad Avenue,29536,,07,SC,"Dillon, South Carolina",45,DIL,34.418285,34.418285,-79.371758
-80.092529,RAIL,Delray Beach,345 South Congress Ave,33444,,07,FL,"Delray Beach, Florida",12,DLB,26.455179,26.455179,-80.092529
-81.352455,RAIL,Deland,2491 Old New York Ave,32720-2808,,07,FL,"Deland, Florida",12,DLD,29.016834,29.016834,-81.352455
-95.845581,RAIL,Detroit Lakes,116 Pioneer Street,56501,,07,MN,"Detroit Lakes, Minnesota",27,DLK,46.819489,46.819489,-95.845581
-78.907227,RAIL,Durham,400 W. Chapel Hill Street,27701,,07,NC,"Durham, North Carolina",37,DNC,35.997036,35.997036,-78.907227
-81.14315,RAIL,Denmark,200 West Baruch Street,29042,,07,SC,"Denmark, South Carolina",45,DNK,33.326145,33.326145,-81.14315
-86.108734,RAIL,Dowagiac,100 East Railroad St,49047-1448,,07,MI,"Dowagiac, Michigan",26,DOA,41.981201,41.981201,-86.108734
-70.876648,RAIL,Dover,33 Chestnut St.,03820-3327,,07,NH,"Dover, New Hampshire",33,DOV,43.198656,43.198656,-70.876648
-75.708122,RAIL,Downingtown,West Lancaster Ave. and Stuart Ave.,19335,,07,PA,"Downingtown, Pennsylvania",42,DOW,40.002537,40.002537,-75.708122
-89.240158,RAIL,Du Quoin,20 North Chestnut St.,62832-1602,,07,IL,"Du Quoin, Illinois",17,DQN,38.011353,38.011353,-89.240158
-83.982437,RAIL,Durand,200 South Railroad St.,48429-1713,,07,MI,"Durand, Michigan",26,DRD,42.909779,42.909779,-83.982437
-100.901466,RAIL,Del Rio,100 North Main Street,78840,,07,TX,"Del Rio, Texas",48,DRT,29.363081,29.363081,-100.901466
-79.331017,BUS,Dunkirk,411 Central Ave.,14048,P&G Foods,07,NY,"Dunkirk, New York",36,DUK,42.485332,42.485332,-79.331017
-92.124008,BUS,Duluth,4426 Grand Ave.,55806,Greyhound Terminal,07,MN,"Duluth (Greyhound Station), Minnesota",27,DUL,46.766602,46.766602,-92.124008
-122.269974,RAIL,Dunsmuir,5750 Sacramento Avenue,96025-2024,Amtrak Passenger Station,07,CA,"Dunsmuir (Amtrak Station), California",06,DUN,41.211174,41.211174,-122.269974
-92.07677,BUS,Duluth,175 Kirby Student Union,55812,,07,MN,"Duluth (University of Minnesota), Minnesota",27,DUU,46.810445,46.8104451385,-92.0767700291
-87.636116,BUS,Danville,379 Lynch Road,61834-9378,BP Amoco Station,07,IL,"Danville, Illinois",17,DVI,40.119427,40.119427,-87.636116
-98.861374,RAIL,Devils Lake,Railroad Ave. and Third St.,58301,,07,ND,"Devils Lake, North Dakota",38,DVL,48.110645,48.110645,-98.861374
-90.577423,BUS,Davenport,304 West River Drive,52801,,07,IA,"Davenport, Iowa",19,DVP,41.519737,41.519737,-90.577423
-75.496141,BUS,Dover,1166 South Bay Rd.,19901-4633,Greyhound Bus Stop/Hertz,07,DE,"Dover, Delaware",10,DVR,39.138167,39.138167328,-75.4961414292
-88.428322,RAIL,Dwight,119 West Main St.,60420-1321,,07,IL,"Dwight, Illinois",17,DWT,41.092049,41.092049,-88.428322
-81.009117,BUS,Daytona Beach,100 North Atlantic Ave,32118-4273,Fairfield Hilton,07,FL,"Daytona Beach, Florida",12,DYA,29.228231,29.228231,-81.009117
-87.518188,RAIL,Dyer,913 Sheffield Avenue,46311,,07,IN,"Dyer, Indiana",18,DYE,41.498528,41.498528,-87.518188
-122.383072,RAIL,Edmonds,211 Railroad Ave.,98020-4132,,07,WA,"Edmonds, Washington",53,EDM,47.811295,47.811295,-122.383072
-88.545715,RAIL,Effingham,401 West National Ave.,62401-3772,,07,IL,"Effingham, Illinois",17,EFG,39.119156,39.119156,-88.545715
-74.64933,OTHER,Egg Harbor City,South Philadelphia Ave & Atlantic Ave,08215,New Jersey Transit,07,NJ,"Egg Harbor City, New Jersey",34,EGH,39.52706,39.5270599962,-74.6493300232
-124.158203,BUS,Eureka,Fifth and L Sts.,95501,Stanton's Coffee Shop,07,CA,"Eureka, California",06,EKA,40.803017,40.803017,-124.158203
-121.482536,BUS,Elk Grove,Harbor Point Drive at Renwick Avenue,95758,Across from McDonald's,07,CA,"Elk Grove, California",06,EKG,38.42458,38.4245798098,-121.482535565
-85.971054,RAIL,Elkhart,131 Tyler Avenue,46515,,07,IN,"Elkhart, Indiana",18,EKH,41.680721,41.680721,-85.971054
-106.490126,BUS,El Paso,200 W. San Antonio Ave.,79901-1048,,07,TX,"El Paso (Bus Station), Texas",48,ELB,31.757271,31.7572709709,-106.490125522
-115.753395,RAIL,Elko,12th and Silver Sts.,89801,,07,NV,"Elko, Nevada",32,ELK,40.836876,40.836876,-115.753395
-106.494888,RAIL,El Paso,700 San Francisco St.,79901,,07,TX,"El Paso, Texas",48,ELP,31.757725,31.757725,-106.494888
-123.546561,BUS,Elsie,44573 Highway 26,97138,Baker's General Store/Hardware,07,OR,"Elsie, Oregon",41,ELS,45.857761,45.8577605399,-123.546560892
-76.614578,RAIL,Elizabethtown,Wilson Avenue,17022,,07,PA,"Elizabethtown, Pennsylvania",42,ELT,40.1474,40.1474,-76.614578
-82.097008,RAIL,Elyria,410 East River Road,44035,,07,OH,"Elyria, Ohio",39,ELY,41.370052,41.370052,-82.097008
-122.29068,RAIL,Emeryville,5885 Horton Street,94608-2037,,07,CA,"Emeryville, California",06,EMY,37.840679,37.840679,-122.29068
-119.548645,RAIL,Ephrata,24 Alder St NW,88823-2421,Bus leaves from 90 Alder St NW,07,WA,"Ephrata, Washington",53,EPH,47.320595,47.320595,-119.548645
-119.752892,BUS,El Portal,11136 Highway 140,95318-0169,Yosemite View Lodge,07,CA,"El Portal, California",06,EPL,37.678543,37.678543,-119.752892
-80.081039,RAIL,Erie,125 West 14th Street,16501,,07,PA,"Erie, Pennsylvania",42,ERI,42.121128,42.121128,-80.081039
-113.609482,RAIL,Essex,290 Izaak Walton Inn Rd,59916-9710,Izaak Walton Inn,07,MT,"Essex, Montana",30,ESM,48.280861,48.280861,-113.609482
-73.110451,RAIL,Essex Jct.,29 Railroad Ave.,05452,,07,VT,"Essex Junction, Vermont",50,ESX,44.492573,44.492573,-73.110451
-123.091843,RAIL,Eugene,433 Willamette Street,97401-2613,,07,OR,"Eugene, Oregon",41,EUG,44.055386,44.055386,-123.091843
-122.215622,RAIL,Everett,3201 Smith Ave.,98201,,07,WA,"Everett, Washington",53,EVR,47.979282,47.979282,-122.215622
-74.190596,RAIL,Newark,Newark Liberty International Airport,07114-3401,Monorail from main airport terminal,07,NJ,"Newark Liberty International Airport, New Jersey",34,EWR,40.705134,40.705134086,-74.1905963865
-70.957822,RAIL,Exeter,60 Lincoln Street,03833,Lincoln Street at Railroad Avenue,07,NH,"Exeter, New Hampshire",33,EXR,42.981603,42.981603,-70.957822
